TIC ID	ExoFOP-TESS	Sectors	Epoch	Period	Duration	Depth	Depth	Rtranister	Rstar	Tmag	Delta Tmag	Group Disposition	Reason for Group Disposition	Group Comments	Disposition (VK)	Comments (VK)	Disposition (LC)	Comments (LC)	Disposition (HDL)	Comments (HDL)	Disposition (MZDF)	Comments (MZDF)	Disposition (Julien)	Comments (Julien)	Disposition (JY)	Comments (JY)	Disposition (AF)	Comments (AF)	Disposition(MAC)	Comments(MAC)	Disposition(RI)	Comments(RI)	Disposition(FG)	Comments(FG)	Disposition(MH)	Comments(MH)
13023378	https://exofop.ipac.caltech.edu/tess/target.php?id=13023378	2	2458358.257	6.06764	2.90	7450	0.75	0.84	1.08	11.9221	5.32				PC		PC	run 2 min			PC	FSCP			PC								PC	run 2 min		
13023738	https://exofop.ipac.caltech.edu/tess/target.php?id=13023738	2	2458354.978	8.05577	2.84	3630	0.36	0.93	1.71	12.2524	6.10				pFP	low SNR, NT		NT			pFP	LCMOD; Low SNR			FP	lowSNR, OED, CO, FSOP								NT		
13349647	https://exofop.ipac.caltech.edu/tess/target.php?id=13349647	8	2458518.505	1.537368	1.87	19329	1.93	1.30	0.98	12.212	4.28				PC	Poor fit	CP	WASP-36b			CP	WASP-36 b			PC	FSCP							CP	WASP-36b	CP	WASP-36 b 
13419950	https://exofop.ipac.caltech.edu/tess/target.php?id=13419950	14,15	2458686.374	7.31781	3.44	2930	0.29	0.00	0.00	9.493	6.33				PC	S15 bad	PC	pSS,MD,FSCP,EB			pFP (albeit transit shape looks good in the first FFI curve!) 	CROWDED FSCP, SS, Low SNR			PC	LCMOD, FSCP							PC	pSS,MD,FSCP,EB	PC	FSCP, EB,OED
13499636	https://exofop.ipac.caltech.edu/tess/target.php?id=13499636	15	2458714.597	11.324682	5.97	1938	0.19	0.38	0.82	10.5954	6.78				PC		PC	FSCP,pSS			pFP	FSCP; FFI - Low SNR; 2min pSS, however the boundaries might be reduced by the LCMOD, and therefore the signals might be less significant than it appears 			PC	 FSCP							pFP	Low SNR,FSCP,pCO,pSS	pFP	Low SNR,FSCP
13684720	https://exofop.ipac.caltech.edu/tess/target.php?id=13684720	14,15	2458695.012	12.437607	1.73	128447	12.84	1.76	0.48	12.4647	2.23				PC	CO, TD, poor fit, flares	FP	TD, CO, LCMOD			pFP	Vshape, pTD			pFP	UC, pSS, FSCP							FP	pTD,Vshape,CO	FP	TD
14091633	https://exofop.ipac.caltech.edu/tess/target.php?id=14091633	5	2458440.936	5.52889	2.35	20671	2.07	1.82	1.29	8.8695	4.21				pFP	pVshape, pSS	pFP	pTD, pCO, pSS			pFP	pTD, Vshape			pFP	pSS, UC							FP	pVshape,pSS,CO	PC	pTD,Vshape, OED
14091704	https://exofop.ipac.caltech.edu/tess/target.php?id=14091704	5	2458438.417	0.76502	1.03	1901	0.19	0.68	1.60	9.1577	6.80				PC	pVshape	PC	pVshape			pFP	Vshape; TFP			PC								PC	pVshape	PC	Good
14165625	https://exofop.ipac.caltech.edu/tess/target.php?id=14165625	5,6	2458442.025	11.020153	3.64	1077	0.11	0.21	0.72	11.3877	7.42				PC	S5 bad, UC	pFP	low SNR, LCMOD, pCO			PC	FFI: LCMOD, MD, Low SNR; 2min: Primary Transit in Sector 6 is textbook, LCMOD and Low SNR in Sector 5.			PC	LCMOD, FSOP							FP	LCMOD,Low SNR,CO	FP	LCMOD,OED
14336130	https://exofop.ipac.caltech.edu/tess/target.php?id=14336130	20	2458843.846	8.088417	3.33	480	0.05	0.24	1.24	8.82897	8.30				PC		PC	pCO			PC (SPR) 	Slight asymmetry, pVshape			PC	FSOP							PC	HPMS	PC	Good, HPMS
